hash	verified	citation	URL	DOI	year	title	author
('Erd\\u0151s-Rényi Random Graph Revisited', 'None')	0.0	P. ERDOS and A. RBNYI, On the evolution of random graphs, Publications of tke Matkemafical Insfifufe of the Hungarian Academy of Sciences 5 (1960) (in print).	http://dx.doi.org/10.1017/9781316779422.007	10.1017/9781316779422.007	None	Erd\u0151s-Rényi Random Graph Revisited	Remco van der Hofstad
('Stability of certain dynamical systems', 1975.0)	0.0	B. Zelinka, On a certain distance between isomorphism classes of graphs, Casopis pro pest. Math. 100 (1975) 371–373.	http://dx.doi.org/10.4153/cmb-1975-067-8	10.4153/cmb-1975-067-8	1975.0	Stability of certain dynamical systems	Clark Jeffries
('Time warps, string edits, and macromolecules: The theory and practice of sequence comparison. edited by D. Sankoff and J. B. Kruskal. Addison-Wesley Publishing Company, Inc., Advanced Book Program, Reading, Mass., Don Mills, Ontario, 1983. 300 pp. U. S. $31.95. ISBN 0-201-07809-0', 1985.0)	0.0	D. Sankoff, J.B. Kruskal, S. Mainville, R.J. Cedergren, Fast algorithms to determine RNA secondary structures containing multiple loops, in: D. Sankoff, J. Kruskal (Eds.), Time Warps, String Edits and Macromolecules: The Theory and Practice of Sequence Comparison, Addison-Wesley, 1983, pp. 93–120.	http://dx.doi.org/10.2307/3314879	10.2307/3314879	1985.0	Time warps, string edits, and macromolecules: The theory and practice of sequence comparison. edited by D. Sankoff and J. B. Kruskal. Addison-Wesley Publishing Company, Inc., Advanced Book Program, Reading, Mass., Don Mills, Ontario, 1983. 300 pp. U. S. $31.95. ISBN 0-201-07809-0	R. Mullin
('Edge-clique graphs', 1991.0)	0.0	G. Chartrand, F. Saba, and H. B. Zou. Edge rotations and distance between graphs. Casopis pro p Ë‡ estov Ë‡ anÂ´ Â´Ä± matematiky, 110(1):87â€“91, 1985.	http://dx.doi.org/10.1007/bf01787631	10.1007/bf01787631	1991.0	Edge-clique graphs	Gary Chartrand and S. F. Kapoor and Terry A. McKee and Farrokh Saba
('Structural similarity of directed universal hierarchical graphs: A low computational complexity approach', 2007.0)	0.0	M. Dehmer A. Mehler, A new method of measuring similarity for a special class of directed graphs, Tatra Mount. Math. Publ. 36 (2007) 39â€“59.	http://dx.doi.org/10.1016/j.amc.2007.04.006	10.1016/j.amc.2007.04.006	2007.0	Structural similarity of directed universal hierarchical graphs: A low computational complexity approach	Matthias Dehmer and Frank Emmert-Streib
('Principal Common Divisors of Graphs', 1993.0)	0.0	G. Chartrand, W. Goddard, M.A. Henning, L. Lesniak, H.C. Swart, C.E. Wall, Which graphs are distance graphs ? Ars Comb. 29A (1990) 225–232.	http://dx.doi.org/10.1006/eujc.1993.1012	10.1006/eujc.1993.1012	1993.0	Principal Common Divisors of Graphs	Gary Chartrand and Wayne Goddard and Michael A. Henning and Farrokh Saba and Henda C. Swart
('Codes capable of correcting bursts of insertions and deletions', 'None')	0.0	Levenshtein VI (1966) Binary codes capable of correcting deletions, insertions, and reversals. Technical Report 8	http://dx.doi.org/10.1109/isit.1994.394907	10.1109/isit.1994.394907	None	Codes capable of correcting bursts of insertions and deletions	P.A.H. Bours
('Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson)', 1982.0)	0.0	M.R. Garey, D.S. Johnson, Computers and Intractability: A Guide to the Theory of NP-Completeness, Series of Books in the Mathematical Sciences, W. H. Freeman, 1979.	http://dx.doi.org/10.1137/1024022	10.1137/1024022	1982.0	Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson)	Juris Hartmanis
('Some flexible information retrieval systems using structure matching procedures', 1964.0)	0.0	E.H. Sussenguth, Structural Matching in Information Processing, Harvard University, USA, 1964 Ph.D. thesis.	http://dx.doi.org/10.1145/1464122.1464178	10.1145/1464122.1464178	1964.0	Some flexible information retrieval systems using structure matching procedures	Gerald Salton and Edward H. Sussenguth
('Studie II: Kognitive Strukturen, Produktalternativen und Kaufentscheidung', 1990.0)	0.0	Sommerfeld, E.: "Kognitive strukturen", in Mathematischpsychologische elementaranalysen der wissensstrukturierung und informationsverarbeitung (Waxmann Publishing, 1994)	http://dx.doi.org/10.1007/978-3-642-48104-8_7	10.1007/978-3-642-48104-8_7	1990.0	Studie II: Kognitive Strukturen, Produktalternativen und Kaufentscheidung	Klaus G. Grunert
('Ein allgemeines Modell für die Entwicklung von quantitativen Entscheidungsunterlagen auf der Grundlage von quantitativen Szenarien', 1987.0)	0.0	Sobik F: Modellierung von Vergleichsprozessen auf der Grundlage von Ã„hnlichkeitsmaÃŸen fÃ¼r Graphen. ZKI-Inf., Akad Wiss DDR 1986, 4:104-144.	http://dx.doi.org/10.1007/978-3-322-87917-2_4	10.1007/978-3-322-87917-2_4	1987.0	Ein allgemeines Modell für die Entwicklung von quantitativen Entscheidungsunterlagen auf der Grundlage von quantitativen Szenarien	Reinhart Schultz
('Ludwig-Maximilians-Universität München, Institut für Ethnologie', 'None')	0.0	M. Borgwardt, Graph Kernels, Ludwig-Maximilians-Universitat Munchen, Fakultat fur Mathematik, Informatik und Statistik, 2007 Ph.D. thesis.	http://dx.doi.org/10.1163/_afco_asc_1589	10.1163/_afco_asc_1589	None	Ludwig-Maximilians-Universität München, Institut für Ethnologie	None
('Deriving Software Performance Models from Architectural Patterns by Graph Transformations', 2000.0)	0.0	E. Sommerfeld, Systematization and formalization of cognitive structure transformations on the basis of graph transformations, in: T. Marek (Ed.), Action and Performance: Models and Tests. Contributions to the Quantitative Psychology and Its Methodology, 1990, pp. 105–120.	http://dx.doi.org/10.1007/978-3-540-46464-8_33	10.1007/978-3-540-46464-8_33	2000.0	Deriving Software Performance Models from Architectural Patterns by Graph Transformations	Dorina C. Petriu and Xin Wang
('Graphs, Typed Graphs, and the Gluing Construction', 'None')	0.0	H. Bunke, What is the distance between graphs ? Bull. EATCS 20 (1983) 35–39.	http://dx.doi.org/10.1007/3-540-31188-2_2	10.1007/3-540-31188-2_2	None	Graphs, Typed Graphs, and the Gluing Construction	None
('Sessions: 2017 25th European Signal Processing Conference (EUSIPCO)', 2017.0)	0.0	H. Bunke, G. Allermann, A metric on graphs for structural pattern recognition, in: EUSIPCO (Ed.), Proceedings of Second European Signal Processing Conference EUSIPCO, 1983, pp. 257–260.	http://dx.doi.org/10.23919/eusipco.2017.8081154	10.23919/eusipco.2017.8081154	2017.0	Sessions: 2017 25th European Signal Processing Conference (EUSIPCO)	None
('Graph grammars as an analytical tool in physics and biology', 1997.0)	0.0	Gernert, D.: "Graph grammars which generate graphs with specified properties", Bull. EATCS, 1981, 13, pp. 13â€“ 20	http://dx.doi.org/10.1016/s0303-2647(97)00037-3	10.1016/s0303-2647(97)00037-3	1997.0	Graph grammars as an analytical tool in physics and biology	Dieter Gernert
('Umweltbelastung und Gesellschaft — Luft — Boden — Technik', 1986.0)	0.0	Kaden, F.: "Graphmetriken und Isometrieprobleme zugeho riger distanzgraphen", ZKI-Informationen, Akad. Wiss. DDR, 1986, pp. 1 â€“100	http://dx.doi.org/10.1007/978-3-322-84331-9	10.1007/978-3-322-84331-9	1986.0	Umweltbelastung und Gesellschaft — Luft — Boden — Technik	None
('Graph matching for visual object recognition', 2000.0)	0.0	H. Bunke. Graph matching: Theoretical foundations, algorithms, and applications. Vision Interface, 3, 2000.	http://dx.doi.org/10.1163/156856800741153	10.1163/156856800741153	2000.0	Graph matching for visual object recognition	Horst Bunke
('Inferring Phylogenies.—Joseph Felsenstein. 2003. Sinauer Associates, Sunderland, Massachusetts.', 2004.0)	0.0	Felsenstein, J.: "Inferring phylogenies" (Sinauer Associates, 2003)	http://dx.doi.org/10.1080/10635150490468530	10.1080/10635150490468530	2004.0	Inferring Phylogenies.—Joseph Felsenstein. 2003. Sinauer Associates, Sunderland, Massachusetts.	David Penny
("Behavior BazaarHaberA.RunyonR. E.Fundamentals of Psychology (2nd ed.). Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.RunyonR. E.Instructor's resource guide for Fundamentals of Psychology (2nd ed.) Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.ReeseP.HaberA.RunyonR. E.Student workbook for Fundamentals of Psychology (2nd ed.). Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.", 1978.0)	0.0	Buckley, F., Harary, F.: Distance in graphs. Addison-Wesley Publishing Company, Reading (1990)	http://dx.doi.org/10.1207/s15328023top0504_16	10.1207/s15328023top0504_16	1978.0	Behavior BazaarHaberA.RunyonR. E.Fundamentals of Psychology (2nd ed.). Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.RunyonR. E.Instructor's resource guide for Fundamentals of Psychology (2nd ed.) Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.ReeseP.HaberA.RunyonR. E.Student workbook for Fundamentals of Psychology (2nd ed.). Reading, Massachusetts: Addison-Wesley Publishing Company, 1978.	None
('Schneiden der Objekte und Weiterbehandeln der Schnitte', 1914.0)	0.0	Sobik, F.: "Graphmetriken und Klassifikation strukturierter Objekte", ZKIInf., Akad. Wiss. DDR, 1982, 2, (82), pp. 63â€“122	http://dx.doi.org/10.1007/978-3-662-25930-6_7	10.1007/978-3-662-25930-6_7	1914.0	Schneiden der Objekte und Weiterbehandeln der Schnitte	P. Mayer
('Verzeichnis bibliographischer Datensammlungen und Datenbasen zu Grundlagen- und Anwendungsgebieten der Biotechnologie. (Directory of Bibliographic Data Bases in Biotechnology). Berlin: Akad. Wiss. DDR, Wissenschftl. Inform.-Zentrum, 1989. 110 pp.', 1990.0)	0.0	F. Kaden, Graphmetriken und Distanzgraphen, ZKI-Inform. Akad. Wiss. DDR 2 (82) (1982) 1–63.	http://dx.doi.org/10.1002/abio.370100307	10.1002/abio.370100307	1990.0	Verzeichnis bibliographischer Datensammlungen und Datenbasen zu Grundlagen- und Anwendungsgebieten der Biotechnologie. (Directory of Bibliographic Data Bases in Biotechnology). Berlin: Akad. Wiss. DDR, Wissenschftl. Inform.-Zentrum, 1989. 110 pp.	E. Poetzsch
('Clustering and similarity of chemical structures represented by binary substructure descriptors', 2003.0)	0.0	K. Varmuza, W. Demuth, M. Karlovits, H. Scsibrany, Binary substructure descriptors for organic compounds, Croat. Chem. Acta 78 (2005) 141–149.	http://dx.doi.org/10.1016/s0169-7439(03)00054-6	10.1016/s0169-7439(03)00054-6	2003.0	Clustering and similarity of chemical structures represented by binary substructure descriptors	H Scsibrany and M Karlovits and W Demuth and F Müller and K Varmuza
('A Short Survey on Data Clustering Algorithms', 2015.0)	0.0	D. Buttler, A short survey of document structure similarity algorithms, in: International Conference on Internet Computing, 2004, pp. 3–9.	http://dx.doi.org/10.1109/iscmi.2015.10	10.1109/iscmi.2015.10	2015.0	A Short Survey on Data Clustering Algorithms	Ka-Chun Wong
("F. Emmert-Streib, M. Dehmer, J. Kilian, Classification of large graphs by a local tree decomposition, in: H.R.A. et al. (Ed.), Proceedings of DMIN'05, International Conference on Data Mining, Las Vegas, USA, 2006, pp. 200–207.", 'CITATION ONLY')	0.0	F. Emmert-Streib, M. Dehmer, J. Kilian, Classification of large graphs by a local tree decomposition, in: H.R.A. et al. (Ed.), Proceedings of DMIN'05, International Conference on Data Mining, Las Vegas, USA, 2006, pp. 200–207.	http://dx.doi.org/10.1016/j.amc.2006.04.006	10.1016/j.amc.2006.04.006	2006.0	A similarity measure for graphs with low computational complexity	Matthias Dehmer and Frank Emmert-Streib and Jürgen Kilian
('Länder- und Völkerkunde', 1906.0)	0.0	F. Kaden, Halbgeordnete Graphmengen und Graphmetriken, in: H. Sachs (Ed.), Graphs, Hypergraphs, and Applications, 73, Teubner, Leipzig, DDR, 1985, pp. 92–95.	http://dx.doi.org/10.1007/978-3-663-16244-5_9	10.1007/978-3-663-16244-5_9	1906.0	Länder- und Völkerkunde	None
('Graphs which Contain all Small Graphs', 1981.0)	0.0	D. Gernert, Graph grammars which generate graphs with specified properties, Bull. EATCS 13 (1981) 13–20.	http://dx.doi.org/10.1016/s0195-6698(81)80015-7	10.1016/s0195-6698(81)80015-7	1981.0	Graphs which Contain all Small Graphs	Béla Bollobás and Andrew Thomason
('Color-based image retrieval using vector quantization and multivariate graph matching', 2005.0)	0.0	C. Theoharatos, N. Laskaris, G. Economou, S. Fotopoulos, A similarity measure for color image retrieval and indexing based on the multivariate two sample problem, in: Proceedings of EUSIPCO, Vienna, Austria, 2004, pp. 2307–2310.	http://dx.doi.org/10.1109/icip.2005.1529806	10.1109/icip.2005.1529806	2005.0	Color-based image retrieval using vector quantization and multivariate graph matching	C. Theoharatos and G. Economou and S. Fotopoulos and N.A. Laskaris
('Spin Glasses and Complexity', 2017.0)	0.0	M.E.J. Newman, A.L. Barabasi, D.J. Watts, The Structure and Dynamics of Networks, Princeton Studies in Complexity, Princeton University Press, 2006.	http://dx.doi.org/10.23943/princeton/9780691147338.001.0001	10.23943/princeton/9780691147338.001.0001	2017.0	Spin Glasses and Complexity	Daniel L. Stein and Charles M. Newman
('Preface', 1980.0)	0.0	D. Dubois, H. Prade, Fuzzy Sets and Systems: Theory and Applications, New York:Academic, 1980.	http://dx.doi.org/10.1016/s0076-5392(09)60133-8	10.1016/s0076-5392(09)60133-8	1980.0	Preface	Didier Dubois and Henri Prade
('Quantum search algorithm for graph isomorphism problem', 2008.0)	0.0	S. Fortin, â€œTe graph isomorphism problem,â€\x9d 1996.	http://dx.doi.org/10.1117/12.801901	10.1117/12.801901	2008.0	Quantum search algorithm for graph isomorphism problem	A. E. Kirichkov
("Tonto's FriendTonto's FriendSilvermanR. E.Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 573 + xxi pp.Tonto's FriendDavisS. F.Instructor's manual: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 168 pp.Tonto's FriendSilvermanR. E.Test item file: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 169 pp. (File includes 972 questions.)Tonto's FriendWinsten-VelenL.Study guide and workbook: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 315 pp.", 1983.0)	0.0	C. H. Papadimitriou, K. Steiglitz, Combinatorial Optimization: Algorithm and Complexity, NJ, Englewood Cliffs:Prentice-Hall, 1982.	http://dx.doi.org/10.1207/s15328023top1003_30	10.1207/s15328023top1003_30	1983.0	Tonto's FriendTonto's FriendSilvermanR. E.Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 573 + xxi pp.Tonto's FriendDavisS. F.Instructor's manual: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 168 pp.Tonto's FriendSilvermanR. E.Test item file: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 169 pp. (File includes 972 questions.)Tonto's FriendWinsten-VelenL.Study guide and workbook: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 315 pp.	None
('$45 the set (cloth), 547 pp. (Vol. 1)David E. Rumelhart, James L. McClelland and the PDP Research Group, . Vol. 1: , MIT Press, New York (1986).$45 the set (cloth), 611 pp. (Vol. 2)David E. Rumelhart, James L. McClelland and the PDP Research Group, . Vol. 2: , MIT Press, Cambridge, MA (1986).', 1988.0)	0.0	JC McClelland, DE Rumelhart Parallel Distributed Processing, MIT Press, Cambridge, MA (1986)	http://dx.doi.org/10.1016/s0092-8240(88)80023-5	10.1016/s0092-8240(88)80023-5	1988.0	$45 the set (cloth), 547 pp. (Vol. 1)David E. Rumelhart, James L. McClelland and the PDP Research Group, . Vol. 1: , MIT Press, New York (1986).$45 the set (cloth), 611 pp. (Vol. 2)David E. Rumelhart, James L. McClelland and the PDP Research Group, . Vol. 2: , MIT Press, Cambridge, MA (1986).	D STORK
('Invariant visual object recognition learning', 2016.0)	0.0	N Ansari, EJ Delp Fast Learning and Invariant Object Recognition, Wiley, New York (1992)	http://dx.doi.org/10.1093/acprof:oso/9780198784852.003.0025	10.1093/acprof:oso/9780198784852.003.0025	2016.0	Invariant visual object recognition learning	Edmund T. Rolls
('C. H. Papadimitriou, K. Steiglitz, Combinatorial Optimization; Algorithm and Complexity, NJ, Englewood Cliffs:Prentice-Hall, 1982.', 'CITATION ONLY')	0.0	C. H. Papadimitriou, K. Steiglitz, Combinatorial Optimization; Algorithm and Complexity, NJ, Englewood Cliffs:Prentice-Hall, 1982.	http://dx.doi.org/10.1207/s15328023top1003_30	10.1207/s15328023top1003_30	1983.0	Tonto's FriendTonto's FriendSilvermanR. E.Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 573 + xxi pp.Tonto's FriendDavisS. F.Instructor's manual: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 168 pp.Tonto's FriendSilvermanR. E.Test item file: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 169 pp. (File includes 972 questions.)Tonto's FriendWinsten-VelenL.Study guide and workbook: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 315 pp.	None
('Suboptimum solutions obtained by the Hopfield-Tank neural network algorithm', 1991.0)	0.0	Hop?eld, J. J., & Tank, D. W. (1985). “Neural” computation of decisions in optimization problems. Biol. Cybern., 52, 141–152.	http://dx.doi.org/10.1007/bf00202388	10.1007/bf00202388	1991.0	Suboptimum solutions obtained by the Hopfield-Tank neural network algorithm	D. Kunz
('Information Technology For Balanced Manufacturing Systems', 2006.0)	0.0	T. Cour, P. Srinivasan, J. Shi, "Balanced Graph Matching", Proc. Advances in Neural Information Processing Systems (NIPS), pp. 313-320, 2006.	http://dx.doi.org/10.1007/978-0-387-36594-7	10.1007/978-0-387-36594-7	2006.0	Information Technology For Balanced Manufacturing Systems	None
('Parallel multilevel graph partitioning', 'None')	0.0	Karypis G, Kumar V. Analysis of multilevel graph partitioning. Technical Report TR 95â€\x90037, Department of Computer Science, University of Minnesota, 1995. Also available at http://www.cs.umn.edu/ karypis [14 August 1999].	http://dx.doi.org/10.1109/ipps.1996.508075	10.1109/ipps.1996.508075	None	Parallel multilevel graph partitioning	G. Karypis and V. Kumar
('[COMPUTER ANALYSIS OF THE RADIOISOTOPE SCAN.] Technical Progress Report.', 1969.0)	0.0	VanÄ›k P, Mandel J, Brezina M. Algebraic multigrid on unstructured meshes. Technical Report UCD/CCM 34, Center for Computational Mathematics, University of Colorado at Denver, December 1994.	http://dx.doi.org/10.2172/4822055	10.2172/4822055	1969.0	[COMPUTER ANALYSIS OF THE RADIOISOTOPE SCAN.] Technical Progress Report.	None
('Scalable Parallel Algorithms for Unstructured Problems', 1995.0)	0.0	Kumar V, Grama A, Gupta A, Karypis G. Introduction to Parallel Computing: Design and Analysis of Parallel Algorithms. The Benjamin/Cummings Publishing Company, Inc.: Redwood City, CA, 1994.	http://dx.doi.org/10.1007/978-1-4757-6130-6_5	10.1007/978-1-4757-6130-6_5	1995.0	Scalable Parallel Algorithms for Unstructured Problems	Vipin Kumar and Ananth Grama and Anshul Gupta and George Karypis
('Goldthorpe, Rhiannon. Sartre: Literature and Theory. Cambridge, London, New York, New Rochelle, Melbourne, Sydney: Cambridge University Press, 1984Goldthorpe, Rhiannon. Sartre: Literature and Theory. Cambridge, London, New York, New Rochelle, Melbourne, Sydney: Cambridge University Press, 1984. Pp. vii-x, 246. $39.50.', 1988.0)	0.0	Gibbons A. Algorithmic Graph Theory. Cambridge University Press: New York, 1985.	http://dx.doi.org/10.3138/cmlr.45.1.168a	10.3138/cmlr.45.1.168a	1988.0	Goldthorpe, Rhiannon. Sartre: Literature and Theory. Cambridge, London, New York, New Rochelle, Melbourne, Sydney: Cambridge University Press, 1984Goldthorpe, Rhiannon. Sartre: Literature and Theory. Cambridge, London, New York, New Rochelle, Melbourne, Sydney: Cambridge University Press, 1984. Pp. vii-x, 246. $39.50.	Oreste F. Pucciani
('Annual Copper Mountain Conferences on Multigrid and Iterative Methods, Copper Mountain, Colorado', 2016.0)	0.0	Brandt A, Yavneh I. Improved coarseâ€\x90grid correction for highâ€\x90Reynolds flows. In Preliminary Proceedings of the Fifth Copper Mountain Conference on Multigrid Methods, Vol. 1. Manteuffel TA, McCormick SF (eds). University of Colorado: Denver, 1991; 127â€“149.	http://dx.doi.org/10.2172/1325598	10.2172/1325598	2016.0	Annual Copper Mountain Conferences on Multigrid and Iterative Methods, Copper Mountain, Colorado	Stephen F. McCormick
('Quasi-kernel polynomials and their use in non-Hermitian matrix iterations', 1992.0)	0.0	Han H, Il'in VP, Kellogg RB, Yuan W. Analysis of flow directed iterations. Journal of Computational Mathematics 1992; 10(1):57â€“76.	http://dx.doi.org/10.1016/0377-0427(92)90263-w	10.1016/0377-0427(92)90263-w	1992.0	Quasi-kernel polynomials and their use in non-Hermitian matrix iterations	Roland W Freund
('Functional analysis and two-point differential operators', 1990.0)	0.0	Bramble JH. Multigrid methods. In Pitman Research Notes in Mathematical Sciences, Vol. 294. Longman Scientific & Technical: Essex, England, 1993.	http://dx.doi.org/10.1007/bf01321862	10.1007/bf01321862	1990.0	Functional analysis and two-point differential operators	Z. Schneider
('None', 'None')	0.0	None	None	None	None	None	None
('Ettinger, Mark, Peter HÃ¸yer and Manny Knill, â€œHidden subgroups states are almost orthogonalâ€\\x9d. In preparation, January 1999.', 'CITATION ONLY')	0.0	Ettinger, Mark, Peter HÃ¸yer and Manny Knill, â€œHidden subgroups states are almost orthogonalâ€\x9d. In preparation, January 1999.	http://dx.doi.org/10.1007/3-540-49116-3_45	10.1007/3-540-49116-3_45	1999.0	On Quantum Algorithms for Noncommutative Hidden Subgroups	Mark Ettinger and Peter Høyer
('Abelian Hidden Subgroup Problem, 1995; Kitaev', 'None')	0.0	Rotteler Â¨ , Martin and Thomas Beth, â€œPolynomial-time solution to the hidden subgroup problem for a class of non-Abelian groups.â€\x9d Available on Los Alamos e-Print archive (http://xxx.lanl.gov) as quantph/9812070 (December 24, 1998).	http://dx.doi.org/10.1007/springerreference_57520	10.1007/springerreference_57520	None	Abelian Hidden Subgroup Problem, 1995; Kitaev	None
('Interfacing criteria for recognition logic used with a context post-processor', 1982.0)	0.0	S Shimizu, S Nagata, A Inoue, M Yoshida Logic circuit diagram processing system Proc. 6th Conf. Pattern Recognition, Oct 19â€“22, 1982 (1982), pp. 717-719	http://dx.doi.org/10.1016/0031-3203(82)90078-4	10.1016/0031-3203(82)90078-4	1982.0	Interfacing criteria for recognition logic used with a context post-processor	James K. Mullin
('<title>Segmentation And Compression Of Gray Level Images Using Piecewise Gradient Models</title>', 1983.0)	0.0	R Bracho, J Schlag, A.C Sanderson Popeye: A gray-level vision system for robotics applications Technical Report CMU-RI-TR-83-6, Robotics Institute, CMU (1983)	http://dx.doi.org/10.1117/12.934093	10.1117/12.934093	1983.0	<title>Segmentation And Compression Of Gray Level Images Using Piecewise Gradient Models</title>	A. C. Sanderson and R. Bracho
('H Ballard, M Brown Computer Vision, Prentice Hall, Englewood Cliffs, NJ (1982)', 'CITATION ONLY')	0.0	H Ballard, M Brown Computer Vision, Prentice Hall, Englewood Cliffs, NJ (1982)	http://dx.doi.org/10.1207/s15328023top1003_30	10.1207/s15328023top1003_30	1983.0	Tonto's FriendTonto's FriendSilvermanR. E.Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 573 + xxi pp.Tonto's FriendDavisS. F.Instructor's manual: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 168 pp.Tonto's FriendSilvermanR. E.Test item file: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 169 pp. (File includes 972 questions.)Tonto's FriendWinsten-VelenL.Study guide and workbook: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 315 pp.	None
('An Experimental Input System of Hand-Drawn Logic Circuit Diagram for LSI CAD', 1979.0)	0.0	M Ishii, M Iwasaki, T Yamashita An automatic input system of logic circuit diagrams for CAD Proc. Conf. on CAD and Manufacture of Electronic Components, Circuits and Systems (1979), pp. 123-126	http://dx.doi.org/10.1109/dac.1979.1600097	10.1109/dac.1979.1600097	1979.0	An Experimental Input System of Hand-Drawn Logic Circuit Diagram for LSI CAD	M. Ishii and M. Yamamoto and M. Iwasaki and H. Shiraishi
('Algorithm to Draw Automatic Combinatoric Electrical Schematics', 2017.0)	0.0	R.L.T Cederberg Automatic interpretation of hand drawn electrical schematics Proc. Conf. on CAD and Manufacture of Electronic Components, Circuits and Systems (1979), pp. 118-122	http://dx.doi.org/10.18638/ictic.2017.6.1.317	10.18638/ictic.2017.6.1.317	2017.0	Algorithm to Draw Automatic Combinatoric Electrical Schematics	Adam Jaroš
('H Bunke Experience with several methods for the analysis of schematic diagrams Proc. 6th Conf. Pattern Recognition, Oct. 19â€“22, 1982 (1982), pp. 710-712', 'CITATION ONLY')	0.0	H Bunke Experience with several methods for the analysis of schematic diagrams Proc. 6th Conf. Pattern Recognition, Oct. 19â€“22, 1982 (1982), pp. 710-712	http://dx.doi.org/10.1007/978-94-009-7772-3_18	10.1007/978-94-009-7772-3_18	1982.0	Automatic Interpretation of Lines and Text in Circuit Diagrams	Horst Bunke
('COMPUTER AIDED ANALYSIS OF SCHEMATIC DIAGRAMS', 1986.0)	0.0	F.C.A Groen, R.J van Munster Topology based analysis of schematic diagrams Proc. 7th Conf. Pattern Recognition, July 30â€“Aug 2, 1984, Montreal (1984)	http://dx.doi.org/10.1016/b978-0-444-87877-9.50034-0	10.1016/b978-0-444-87877-9.50034-0	1986.0	COMPUTER AIDED ANALYSIS OF SCHEMATIC DIAGRAMS	Frans C.A. Groen and Ruud J. van Munster
('Independence and Bayesian Updating Methods* *Reprinted from the Artificial Intelligence Journal with permission of the publisher, North Holland, Amsterdam.', 1986.0)	0.0	S Kakumoto, et al. Logic diagram recognition by divide and synthesize method J.C Latombe (Ed.), Artificial Intelligence and Pattern Recognition in CAD, North-Holland, Amsterdam (1978), pp. 457-576	http://dx.doi.org/10.1016/b978-0-444-70058-2.50018-8	10.1016/b978-0-444-70058-2.50018-8	1986.0	Independence and Bayesian Updating Methods* *Reprinted from the Artificial Intelligence Journal with permission of the publisher, North Holland, Amsterdam.	Rodney W. Johnson
('On finite presentations for groups', 1980.0)	0.0	L. L. Scott, "The Santa Crus Conference on Finite Groups", Amer. Math. Soc., pp. 319-322, 1980.	http://dx.doi.org/10.1090/s0002-9939-1980-0550487-6	10.1090/s0002-9939-1980-0550487-6	1980.0	On finite presentations for groups	R. Craggs
('M. Furst, J. Hopcroft, E. Luks, A subexponential algorithm for trivalent graph isomorphism, 1980.', 'CITATION ONLY')	0.0	M. Furst, J. Hopcroft, E. Luks, A subexponential algorithm for trivalent graph isomorphism, 1980.	http://dx.doi.org/10.1109/sfcs.1980.34	10.1109/sfcs.1980.34	1980.0	Polynomial-time algorithms for permutation groups	Merrick Furst and John Hopcroft and Eugene Luks
('P. McKenzie, Parallel Complexity and Permutation Groups, Univ. of Toronto, 1984.', 'CITATION ONLY')	0.0	P. McKenzie, Parallel Complexity and Permutation Groups, Univ. of Toronto, 1984.	http://dx.doi.org/10.1109/sfcs.1983.74	10.1109/sfcs.1983.74	1983.0	The parallel complexity of the abelian permutation group membership problem	Pierre McKenzie and Stephen A. Cook
("Petites valeurs propres et classe d'Euler des S1-fibrÃ©s", 2000.0)	0.0	Perchant, A.: Morphisme de graphes dâ€™attributs flous pour la reconnaissance structurelle de scÃ¨nes. Doctorate thesis, Ã‰cole Nationale SupÃ©rieure des TÃ©lÃ©communications (2000)	http://dx.doi.org/10.1016/s0012-9593(00)01048-x	10.1016/s0012-9593(00)01048-x	2000.0	Petites valeurs propres et classe d'Euler des S1-fibrÃ©s	B Colbois
